년월,시도명,읍면동명,업종명,이용금액,총 유동인구,데이터기준일자
2018-01,제주시,추자면,슈퍼마켓,23175899,1796079.1709999999,2020-12-15
2018-01,제주시,추자면,수산물 소매업,3618000,1796079.1709999999,2020-12-15
2018-01,제주시,추자면,기타 주점업,10899000,1796079.1709999999,2020-12-15
2018-01,제주시,추자면,기타 수상오락 서비스업,1240000,1796079.1709999999,2020-12-15
2018-01,제주시,추자면,여행사업,300000,1796079.1709999999,2020-12-15
2018-01,제주시,추자면,과실 및 채소 소매업,13569170,1796079.1709999999,2020-12-15
2018-01,제주시,조천읍,화장품 및 방향제 소매업,5154300,22137393.64,2020-12-15
2018-01,제주시,조천읍,호텔업,23027000,22137393.64,2020-12-15
2018-01,제주시,조천읍,한식 음식점업,1074695838,22137393.64,2020-12-15
2018-01,제주시,조천읍,"피자, 햄버거, 샌드위치 및 유사 음식점업",35288310,22137393.64,2020-12-15
2018-01,제주시,조천읍,체인화 편의점,191168260,22137393.64,2020-12-15
2018-01,제주시,조천읍,차량용 주유소 운영업,606258303,22137393.64,2020-12-15
2018-01,제주시,조천읍,휴양콘도 운영업,387370960,22137393.64,2020-12-15
2018-01,제주시,조천읍,차량용 가스 충전업,49442322,22137393.64,2020-12-15
2018-01,제주시,추자면,육류 소매업,114000,1796079.1709999999,2020-12-15
2018-01,제주시,추자면,중식 음식점업,3542000,1796079.1709999999,2020-12-15
2018-01,제주시,한경면,서양식 음식점업,30568800,6465975.054,2020-12-15
2018-01,제주시,한경면,빵 및 과자류 소매업,502500,6465975.054,2020-12-15
2018-01,제주시,한경면,비알콜 음료점업,2127400,6465975.054,2020-12-15
2018-01,제주시,한경면,기타음식료품위주종합소매업,99384890,6465975.054,2020-12-15
2018-01,제주시,한경면,기타 주점업,8295000,6465975.054,2020-12-15
2018-01,제주시,한경면,기타 수상오락 서비스업,120000,6465975.054,2020-12-15
2018-01,제주시,추자면,일반유흥 주점업,10690000,1796079.1709999999,2020-12-15
2018-01,제주시,한경면,그외 기타 종합 소매업,200000,6465975.054,2020-12-15
2018-01,제주시,한경면,과실 및 채소 소매업,42557025,6465975.054,2020-12-15
2018-01,제주시,한경면,골프장 운영업,208387800,6465975.054,2020-12-15
2018-01,제주시,추자면,한식 음식점업,47152500,1796079.1709999999,2020-12-15
2018-01,제주시,추자면,체인화 편의점,18318130,1796079.1709999999,2020-12-15
2018-01,제주시,추자면,차량용 주유소 운영업,23055350,1796079.1709999999,2020-12-15
2018-01,제주시,추자면,차량용 가스 충전업,1778000,1796079.1709999999,2020-12-15
2018-01,제주시,한경면,관광 민예품 및 선물용품 소매업,5754200,6465975.054,2020-12-15
2018-01,제주시,조천읍,중식 음식점업,37479750,22137393.64,2020-12-15
2018-01,제주시,조천읍,전시 및 행사 대행업,144569800,22137393.64,2020-12-15
2018-01,제주시,조천읍,일식 음식점업,96683512,22137393.64,2020-12-15
2018-01,제주시,일도2동,화장품 및 방향제 소매업,39825070,30822257.35,2020-12-15
2018-01,제주시,일도2동,호텔업,9001000,30822257.35,2020-12-15
2018-01,제주시,일도2동,한식 음식점업,1221273978,30822257.35,2020-12-15
2018-01,제주시,일도2동,"피자, 햄버거, 샌드위치 및 유사 음식점업",79791633,30822257.35,2020-12-15
2018-01,제주시,일도2동,체인화 편의점,232739600,30822257.35,2020-12-15
2018-01,제주시,일도2동,차량용 주유소 운영업,256889688,30822257.35,2020-12-15
